Category: All categories,,,
,,,
Region,Milkshake: (2/1/24 - 2/28/25),hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
North Carolina,45%,30%,25%
South Carolina,42%,35%,23%
Alabama,40%,39%,21%
Kentucky,42%,35%,23%
Tennessee,41%,33%,26%
Indiana,42%,32%,26%
Utah,42%,31%,27%
Georgia,45%,28%,27%
Oklahoma,37%,40%,23%
Florida,47%,23%,30%
West Virginia,41%,36%,23%
Illinois,46%,24%,30%
Ohio,42%,32%,26%
Nevada,43%,29%,28%
Rhode Island,50%,21%,29%
Delaware,49%,23%,28%
Pennsylvania,44%,26%,30%
Arkansas,40%,37%,23%
Texas,42%,33%,25%
Michigan,41%,30%,29%
Virginia,46%,27%,27%
New Jersey,48%,17%,35%
Arizona,42%,31%,27%
Connecticut,47%,22%,31%
Maryland,47%,23%,30%
Missouri,36%,38%,26%
Kansas,33%,43%,24%
Idaho,36%,39%,25%
Wisconsin,38%,37%,25%
Mississippi,37%,41%,22%
Iowa,36%,41%,23%
California,43%,25%,32%
Louisiana,36%,40%,24%
Colorado,38%,32%,30%
North Dakota,34%,43%,23%
Minnesota,35%,37%,28%
Nebraska,33%,43%,24%
Oregon,39%,32%,29%
Massachusetts,44%,21%,35%
New Mexico,38%,31%,31%
Washington,39%,31%,30%
New York,44%,21%,35%
New Hampshire,41%,29%,30%
South Dakota,29%,49%,22%
Wyoming,30%,45%,25%
Maine,36%,38%,26%
Vermont,37%,33%,30%
Montana,29%,48%,23%
Alaska,33%,37%,30%
Hawaii,31%,39%,30%
District of Columbia,40%,21%,39%